alpha,beta,num_topics,coherence
symmetric,0.1,4,0.4363366548359445
symmetric,0.1,5,0.4308005573687078
symmetric,0.1,6,0.4154870120044532
symmetric,0.1,7,0.4299673071507293
symmetric,0.1,8,0.4232917921552069
symmetric,0.1,9,0.41918275205428807
symmetric,0.1,10,0.40778652426352735
symmetric,0.5,3,0.4262440364809732
symmetric,0.5,4,0.4164683823436733
symmetric,0.5,5,0.43142173372248144
symmetric,0.5,6,0.42205218416631324
symmetric,0.5,7,0.426952738197426
symmetric,0.5,8,0.4107168942644791
symmetric,0.5,9,0.417439121291301
symmetric,0.5,10,0.43091218588712554
symmetric,1.0,3,0.4356550721261551
symmetric,1.0,4,0.4271556588418895
symmetric,1.0,5,0.4349884663712129
symmetric,1.0,6,0.4263871062736555
symmetric,1.0,7,0.4277165884441512
symmetric,1.0,8,0.4340978044726277
symmetric,1.0,9,0.42582452736544424
symmetric,1.0,10,0.4217879069992686
symmetric,symmetric,3,0.4221968626080217
symmetric,symmetric,4,0.4143317704944435
symmetric,symmetric,5,0.4321125208249896
symmetric,symmetric,6,0.4400464423103392
symmetric,symmetric,7,0.43098822543453746
symmetric,symmetric,8,0.4104687613653091
symmetric,symmetric,9,0.4293907856317609
symmetric,symmetric,10,0.4239913837941258
symmetric,auto,3,0.4464300345559861
symmetric,auto,4,0.42396133136712477
symmetric,auto,5,0.4314564501311787
symmetric,auto,6,0.4130868872430305
symmetric,auto,7,0.41491209952236036
symmetric,auto,8,0.42174769120207173
symmetric,auto,9,0.4249566000564024
symmetric,auto,10,0.4311325495013002
asymmetric,0.1,3,0.43665311367766657
asymmetric,0.1,4,0.42884002819334854
asymmetric,0.1,5,0.4283693854496424
asymmetric,0.1,6,0.4202075312905271
asymmetric,0.1,7,0.4293027754007057
asymmetric,0.1,8,0.4139008897910901
asymmetric,0.1,9,0.42538240841115554
asymmetric,0.1,10,0.42170289921324067
asymmetric,0.5,3,0.4379231397209948
asymmetric,0.5,4,0.42357202896973656
asymmetric,0.5,5,0.43900377779172856
asymmetric,0.5,6,0.43155788931012284
asymmetric,0.5,7,0.43036412431012555
asymmetric,0.5,8,0.4297033577281114
asymmetric,0.5,9,0.43102496198420653
asymmetric,0.5,10,0.4205629130611026
asymmetric,1.0,3,0.4289171854675859
asymmetric,1.0,4,0.44026376279880663
asymmetric,1.0,5,0.4348294872816642
asymmetric,1.0,6,0.4476394241605362
asymmetric,1.0,7,0.4363544408799254
asymmetric,1.0,8,0.4306213104458157
asymmetric,1.0,9,0.4151095271350201
